Name;BD BENCHMARK 10 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD BENCHMARK 30 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD BENCHMARK 2 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;REX GENERAL BOND - PRICE INDEX;TR GERMANY GVT ZERO 2Y - ZERO YIELD;BD BENCHMARK 10Y DS GVT. (IBOXX) - CLEAN PRICE INDEX;REX BOND SUB INDEX CURRENT 10 YRS - PRICE INDEX;TR GERMANY GVT BID YLD HIGH 10Y (E) - RED. YIELD;BD BENCHMARK 3 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD BENCHMARK 5 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;IBOXX EURO GERMANY COVERED CAPPED 5-7 - Cln Prc Indx Today;IBOXX EURO GERMANY 1-10 - Cln Prc Indx Today;BD TOTAL 3-5 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL 7-10 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL ALL LIVES DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER OVER 10Y DS GOVT. INDEX - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD ALL MATS.(E) - CLEAN PRICE INDEX;IBOXX EURO GERMANY COVERED CAPPED - Cln Prc Indx Today;IBOXX EURO GERMANY 1-3 - Cln Prc Indx Today;IBOXX EURO GERMANY 3-5 - Cln Prc Indx Today;IBOXX EURO GERMANY 7-10 - Cln Prc Indx Today;IBOXX EURO GERMANY - Cln Prc Indx Today;REX BOND SUB INDEX CURRENT 3 YRS - PRICE INDEX;REX BOND SUB INDEX CURRENT 5 YRS - PRICE INDEX;REX BOND SUB INDEX CURRENT 7 YRS - PRICE INDEX;TR GERMANY GVT BID YLD LOW 10Y (E) - RED. YIELD;TR GERMANY GVT ZERO 1M - ZERO YIELD;TR GERMANY GVT ZERO 1Y - ZERO YIELD;TR GERMANY GVT ZERO 3M - ZERO YIELD;TR GERMANY GVT ZERO 9M - ZERO YIELD;BD BENCHMARK 20 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD BENCHMARK 7 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL 1-3 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL 5-7 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL OVER 10 YRS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER 1-3 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER 3-5 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER 5-7 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER 7-10 YRS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER ALL LIVES DS GOVT. INDEX - CLEAN PRICE INDEX;EB.REXX MONEY MARKET INDEX - PRICE INDEX;EXANE ECI GERMANY (CONVERTIBLE) - TOT RETURN IND;EXANE ECI GERMANY (UNDERLYING) - TOT RETURN IND;FTSE GLOBAL GOVT. BD 1-3Y (E) - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD 10+Y (E) - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD 3-5Y (E) - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD 5-7Y (E) - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD 7-10Y(E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD 1-3Y (E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD 3-5Y (E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD 5-7Y (E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD 7-10Y(E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD ALL MATS.(E) - CLEAN PRICE INDEX;IBOXX EURO GERMANY COVERED CAPPED 1-3 - Cln Prc Indx Today;IBOXX EURO GERMANY COVERED CAPPED 3-5 - Cln Prc Indx Today;IBOXX EURO GERMANY COVERED CAPPED 7-10 - Cln Prc Indx Today;IBOXX EURO SOVEREIGNS GERMANY CAPPED 1-5 - Cln Prc Indx Today;IBOXX EURO SOVEREIGNS GERMANY CAPPED 10+ - Cln Prc Indx Today;IBOXX EURO SOVEREIGNS GERMANY CAPPED 5-10 - Cln Prc Indx Today;IBOXX EURO LIQUID GERMANY COVERED DIVERSIFIED - Cln Prc Indx Today;IBOXX EURO GERMANY 1-5 - Cln Prc Indx Today;IBOXX EURO GERMANY 10+ - Cln Prc Indx Today;IBOXX EURO GERMANY 5-10 - Cln Prc Indx Today;IBOXX EURO GERMANY 5-7 - Cln Prc Indx Today
8/18/97;103,191;97,394;104,392;110,5245;3,8797;NA;111,0563;NA;106,302;103,295;NA;NA;104,811;106,468;105,072;110,348;NA;NA;NA;NA;NA;NA;108,5552;111,0406;113,2415;NA;NA;3,4858;NA;NA;100,129;111,272;102,181;110,067;109,948;104,114;103,789;109,561;104,217;104,52;NA;1315,75;1490,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8/19/97;103,573;98,074;104,445;110,7338;3,9142;NA;111,495;NA;106,403;103,486;NA;NA;104,945;106,789;105,272;111,103;NA;NA;NA;NA;NA;NA;108,67;111,2246;113,4925;NA;NA;3,4188;NA;NA;100,712;111,467;102,245;110,282;110,698;104,181;103,926;109,776;104,535;104,784;NA;1346,16;1520,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8/20/97;103,644;98,218;104,371;110,7032;3,9219;NA;111,5766;NA;106,272;103,358;NA;NA;104,826;106,835;105,217;111,258;NA;NA;NA;NA;NA;NA;108,544;111,1344;113,5104;NA;NA;3,4176;NA;NA;100,866;111,529;102,161;110,194;110,854;104,092;103,8;109,674;104,568;104,744;NA;1363,55;1537,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8/21/97;103,523;98,122;104,235;110,5691;3,9262;NA;111,4715;NA;106,161;103,185;NA;NA;104,677;106,685;105,09;111,189;NA;NA;NA;NA;NA;NA;108,4208;110,9686;113,349;NA;NA;3,4621;NA;NA;100,743;111,241;102,072;110,053;110,783;104,002;103,651;109,549;104,428;104,612;NA;1357,54;1545,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8/22/97;102,979;97,04;104,224;110,3369;4,0166;NA;111,0126;NA;106,091;103,003;NA;NA;104,532;106,335;104,855;110,095;NA;NA;NA;NA;NA;NA;108,316;110,7578;113,0379;NA;NA;3,5757;NA;NA;99,975;111,036;102,03;109,746;109,698;103,956;103,506;109,233;104,084;104,293;NA;1320,14;1485,69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8/25/97;102,808;96,906;104,151;110,1417;3,9542;NA;110,6648;NA;105,98;102,812;NA;NA;104,369;106,064;104,698;109,939;NA;NA;NA;NA;NA;NA;108,1983;110,559;112,7934;NA;NA;3,4685;NA;NA;99,77;110,748;101,98;109,575;109,541;103,899;103,336;109,072;103,823;104,094;NA;1321,75;1477,98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8/26/97;102,738;96,858;104,088;110,0563;3,9564;NA;110,5849;NA;105,94;102,767;NA;NA;104,296;105,933;104,616;109,856;NA;NA;NA;NA;NA;NA;108,135;110,469;112,6793;NA;NA;3,46;NA;NA;99,668;110,584;101,939;109,481;109,458;103,862;103,261;108,985;103,695;103,995;NA;1291,75;1434,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8/27/97;102,828;96,934;104,13;110,099;3,9611;NA;110,5324;NA;105,93;102,767;NA;NA;104,341;106,009;104,669;110,016;NA;NA;NA;NA;NA;NA;108,1604;110,5093;112,7663;NA;NA;3,4751;NA;NA;99,821;110,687;101,951;109,552;109,618;103,87;103,307;109,048;103,77;104,065;NA;1302,6;1451,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8/28/97;102,989;97,154;104,224;110,2556;3,961;NA;110,8308;NA;106,071;102,93;NA;NA;104,48;106,201;104,8;110,206;NA;NA;NA;NA;NA;NA;108,2994;110,6711;112,92;NA;NA;3,5265;NA;NA;99,954;110,841;102,025;109,672;109,806;103,96;103,455;109,166;103,961;104,223;NA;1300,06;1438,06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8/29/97;103,13;97,375;104,329;110,3811;3,9218;NA;110,9679;NA;106,131;103,058;NA;NA;104,578;106,378;104,921;110,463;NA;NA;NA;NA;NA;NA;108,3878;110,8117;113,086;NA;NA;3,4425;NA;NA;100,169;111,067;102,072;109,833;110,062;104,01;103,558;109,322;104,132;104,371;NA;1270,93;1411,92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/1/97;102,979;97,202;104,255;110,2391;3,9253;NA;110,6952;NA;106,039;102,885;NA;NA;104,424;106,21;104,795;110,257;NA;NA;NA;NA;NA;NA;108,2744;110,6383;112,9374;NA;NA;3,4855;NA;NA;99,985;110,841;102,015;109,707;109,857;103,942;103,404;109,205;103,966;104,216;NA;1271,72;1449,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/2/97;102,989;97,154;104,255;110,2211;4,0236;NA;110,8066;NA;105,999;102,839;NA;NA;104,386;106,234;104,764;110,227;NA;NA;NA;NA;NA;NA;108,2292;110,5914;112,9069;NA;NA;3,5532;NA;NA;100,005;110,83;101,982;109,628;109,827;103,907;103,367;109,119;103,99;104,198;NA;1315,33;1481;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/3/97;103,069;97,509;104,213;110,2307;4,0526;NA;110,977;NA;105,948;102,803;NA;NA;104,349;106,327;104,77;110,585;NA;NA;NA;NA;NA;NA;108,1651;110,5672;112,9371;NA;NA;3,5589;NA;NA;100,231;110,892;101,931;109,595;110,182;103,854;103,333;109,079;104,083;104,236;NA;1315,11;1498,29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/4/97;102,918;97,432;104,203;110,1781;3,9591;NA;110,8;NA;105,948;102,767;NA;NA;104,333;106,189;104,732;110,502;NA;NA;NA;NA;NA;NA;108,1807;110,5577;112,8528;NA;NA;3,4897;NA;NA;100,149;110,799;101,933;109,594;110,099;103,859;103,316;109,087;103,947;104,169;NA;1317,18;1489,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/5/97;103,13;97,796;104,276;110,3152;4,0192;NA;111,041;NA;106,039;102,876;NA;NA;104,446;106,379;104,862;110,881;NA;NA;NA;NA;NA;NA;108,2764;110,6914;113,0149;NA;NA;3,553;NA;NA;100,466;110,974;101,986;109,731;110,476;103,924;103,427;109,221;104,133;104,329;NA;1311,19;1503,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/8/97;102,969;97,528;104,287;110,2743;3,9874;NA;110,9278;NA;106,049;102,93;NA;NA;104,474;106,263;104,82;110,569;NA;NA;NA;NA;NA;NA;108,2971;110,684;112,9355;NA;NA;3,5321;NA;NA;100,231;110,912;101,996;109,674;110,166;103,936;103,454;109,165;104,018;104,266;NA;1305,63;1470,35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/9/97;103,15;97,901;104,297;110,3773;3,9723;NA;111,139;NA;106,11;102,976;NA;NA;104,533;106,431;104,922;110,966;NA;NA;NA;NA;NA;NA;108,3545;110,7771;113,0604;NA;NA;3,5175;NA;NA;100,589;110,994;102,026;109,796;110,561;103,974;103,512;109,292;104,179;104,4;NA;1305,16;1473,45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/10/97;103,26;98,188;104,339;110,4937;3,9537;NA;111,2273;NA;106,161;103,103;NA;NA;104,635;106,575;105,03;111,252;NA;NA;NA;NA;NA;NA;108,4246;110,9134;113,2358;NA;NA;3,5038;NA;NA;100,773;111,22;102,056;109,943;110,846;104,013;103,615;109,43;104,323;104,536;NA;1298,4;1452,55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/11/97;103,099;97,958;104,339;110,4132;3,9673;NA;111,0733;NA;106,131;103,048;NA;NA;104,568;106,437;104,949;111,003;NA;NA;NA;NA;NA;NA;108,3946;110,8456;113,1221;NA;NA;3,5163;NA;NA;100,589;111,118;102,034;109,858;110,598;103,993;103,546;109,349;104,188;104,426;NA;1264,48;1425,14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/12/97;103,16;97,978;104,329;110,4652;3,9698;NA;111,1761;NA;106,131;103,094;NA;NA;104,613;106,525;104,988;111,054;NA;NA;NA;NA;NA;NA;108,4116;110,903;113,1975;NA;NA;3,5258;NA;NA;100,671;111,2;102,026;109,9;110,651;103,988;103,593;109,388;104,27;104,488;NA;1255,99;1379,44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/15/97;103,24;98,179;104,213;110,3528;4,0445;NA;111,2476;NA;105,937;102,866;NA;NA;104,423;106,483;104,873;111,283;NA;NA;NA;NA;NA;NA;108,2174;110,7072;113,0961;NA;NA;3,5772;NA;NA;100,834;111,056;101,897;109,739;110,88;103,848;103,401;109,226;104,231;104,387;NA;1229,39;1356,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/16/97;103,431;98,715;104,182;110,443;3,9643;NA;111,5365;NA;105,917;102,93;NA;NA;104,445;106,676;104,954;111,87;NA;NA;NA;NA;NA;NA;108,2176;110,7728;113,2232;NA;NA;3,5033;NA;NA;101,285;111,148;101,876;109,806;111,463;103,828;103,426;109,29;104,421;104,519;NA;1246,11;1387,62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/17/97;103,874;99,481;104,224;110,6613;4,0492;NA;111,9415;NA;105,978;103,085;NA;NA;104,56;107,054;105,154;112,647;NA;NA;NA;NA;NA;NA;108,2845;110,9611;113,5458;NA;NA;3,5916;NA;NA;101,94;111,477;101,9;110,043;112,236;103,862;103,544;109,52;104,788;104,793;NA;1280,69;1434,03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/18/97;103,965;99,577;104,234;110,7226;4,0289;NA;112,0438;NA;105,988;103,203;NA;NA;104,598;107,148;105,202;112,771;NA;NA;NA;NA;NA;NA;108,3037;111,0137;113,6389;NA;NA;3,5885;NA;NA;102,022;111,549;101,897;110,102;112,359;103,866;103,585;109,576;104,883;104,87;NA;1273,51;1433,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/19/97;104,065;99,72;104,244;110,7655;4,0543;NA;112,1574;NA;105,998;103,157;NA;NA;104,591;107,237;105,232;112,949;NA;NA;NA;NA;NA;NA;108,2957;111,0434;113,7111;NA;NA;3,6027;NA;NA;102,175;111,579;101,887;110,144;112,537;103,859;103,575;109,618;104,968;104,914;NA;1278,11;1446,52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/22/97;104,166;100,074;104,192;110,7086;4,0972;NA;112,1914;NA;105,876;103,057;NA;NA;104,452;107,253;105,18;113,36;NA;NA;NA;NA;NA;NA;108,1587;110,9267;113,692;NA;NA;3,6369;NA;NA;102,442;111,559;101,799;110,072;112,945;103,766;103,44;109,545;104,981;104,884;NA;1294,38;1469,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/23/97;104,075;99,835;104,192;110,7556;4,0702;NA;112,0251;NA;105,947;103,175;NA;NA;104,57;107,239;105,231;113,107;NA;NA;NA;NA;NA;NA;108,2627;111,0515;113,7504;NA;NA;3,623;NA;NA;102,309;111,651;101,846;110,185;112,695;103,814;103,558;109,654;104,973;104,926;NA;1295,82;1464,71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/24/97;104,206;99,902;104,265;110,8585;4,0393;NA;112,1388;NA;106,008;103,285;NA;NA;104,648;107,374;105,326;113,221;NA;NA;NA;NA;NA;NA;108,3508;111,1502;113,8747;NA;NA;3,5845;NA;NA;102,452;111,784;101,902;110,308;112,812;103,877;103,633;109,78;105,1;105,036;NA;1294,32;1472,98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/25/97;104,297;100,065;104,255;110,8172;4,0675;NA;112,3662;NA;105,937;103,184;NA;NA;104,539;107,358;105,266;113,422;NA;NA;NA;NA;NA;NA;108,2666;111,0623;113,798;NA;NA;3,6296;NA;NA;102,656;111,682;101,837;110,21;113,012;103,817;103,529;109,684;105,085;104,989;NA;1303,33;1492,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/26/97;104,085;99,979;104,192;110,628;4,1173;NA;112,1921;NA;105,814;102,984;NA;NA;104,374;107,117;105,098;113,261;NA;NA;NA;NA;NA;NA;108,1368;110,8578;113,5344;NA;NA;3,6636;NA;NA;102,431;111,476;101,76;109,984;112,851;103,727;103,37;109,458;104,851;104,789;NA;1292,06;1462,22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/29/97;104,065;99,892;104,15;110,6047;4,137;NA;112,2354;NA;105,794;102,984;NA;NA;104,342;107,095;105,066;113,179;NA;NA;NA;NA;NA;NA;108,106;110,8402;113,4966;NA;NA;3,6754;NA;NA;102,4;111,456;101,732;109,949;112,771;103,701;103,338;109,422;104,827;104,759;NA;1296,73;1466,84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9/30/97;104,146;99,998;104,181;110,6544;4,1144;NA;112,2063;NA;105,835;102,993;NA;NA;104,373;107,172;105,115;113,298;NA;NA;NA;NA;NA;NA;108,1451;110,8725;113,5829;NA;NA;3,6637;NA;NA;102,523;111,497;101,758;110,007;112,883;103,726;103,366;109,482;104,901;104,813;NA;1304,75;1490,83;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/1/97;104,518;100,697;104,15;110,7987;4,1085;NA;112,5666;NA;105,804;103,085;NA;NA;104,402;107,452;105,241;114,099;NA;NA;NA;NA;NA;NA;108,1547;110,9672;113,8023;NA;NA;3,6599;NA;NA;103,199;111,682;101,735;110,148;113,679;103,705;103,397;109,62;105,179;105,033;NA;1310,4;1500,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/2/97;104,548;100,716;104,14;110,8181;4,1119;NA;112,5839;NA;105,804;103,03;NA;NA;104,391;107,521;105,254;114,173;NA;NA;NA;NA;NA;NA;108,1399;110,9584;113,8526;NA;NA;3,6681;NA;NA;103,322;111,764;101,729;110,145;113,748;103,697;103,388;109,61;105,244;105,06;NA;1314,75;1530,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/3/97;104,548;100,716;104,14;110,8181;4,0651;NA;112,5839;NA;105,804;103,03;NA;NA;104,391;107,521;105,254;114,173;NA;NA;NA;NA;NA;NA;108,1399;110,9584;113,8526;NA;NA;3,6907;NA;NA;103,322;111,764;101,729;110,145;113,748;103,697;103,388;109,61;105,244;105,06;NA;1311,4;1530,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/6/97;104,871;101,511;104,119;110,8985;4,1185;NA;112,953;NA;105,804;103,02;NA;NA;104,347;107,731;105,333;115,027;NA;NA;NA;NA;NA;NA;108,1071;110,9542;113,9621;NA;NA;3,6524;NA;NA;104,018;111,876;101,722;110,186;114,591;103,694;103,343;109,649;105,451;105,21;NA;1319,48;1545,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/7/97;105,032;101,941;104,192;111,0193;4,1087;NA;113,2769;NA;105,875;103,121;NA;NA;104,432;107,907;105,437;115,467;NA;NA;NA;NA;NA;NA;108,169;111,0641;114,0956;NA;NA;3,649;NA;NA;104,274;112,02;101,746;110,277;115,024;103,728;103,431;109,736;105,627;105,367;NA;1332,05;1548,16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/8/97;104,87;101,74;104,161;110,9077;4,1165;NA;112,9667;NA;105,814;103,039;NA;NA;104,357;107,74;105,352;115,251;NA;NA;NA;NA;NA;NA;108,128;110,9723;113,963;NA;NA;3,6501;NA;NA;104,12;111,856;101,724;110,206;114,81;103,702;103,352;109,67;105,464;105,24;NA;1334,58;1559,06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/9/97;104,357;101,032;104,015;110,5806;4,1584;NA;112,433;NA;105,6;102,727;NA;NA;104,084;107,296;105,037;114,474;NA;NA;NA;NA;NA;NA;107,9014;110,6348;113,5683;NA;NA;3,6822;NA;NA;103,486;111,476;101,586;109,836;114,039;103,548;103,081;109,303;105,03;104,845;NA;1303,9;1518,56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/10/97;103,743;101,032;103,421;109,7595;4,4089;NA;111,6279;NA;104,917;101,82;NA;NA;103,268;106,41;104,322;114,448;NA;NA;NA;NA;NA;NA;107,1791;109,6734;112,5788;NA;NA;3,9383;NA;NA;103,199;110,369;101,124;108,921;114,006;103,028;102,248;108,406;104,16;104,063;NA;1302,16;1495;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/13/97;103,682;100,447;103,671;109,8811;4,4026;NA;111,6561;NA;105,09;101,994;NA;NA;103,424;106,516;104,402;113,832;NA;NA;NA;NA;NA;NA;107,3136;109,8291;112,7283;NA;NA;3,9286;NA;NA;102,871;110,635;101,211;109,027;113,398;103,133;102,424;108,491;104,262;104,133;NA;1297,29;1508,89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/14/97;103,914;100,763;103,712;109,9772;4,3996;NA;111,8899;NA;105,111;102,076;NA;NA;103,47;106,696;104,488;114,197;NA;NA;NA;NA;NA;NA;107,342;109,9123;112,857;NA;NA;3,9269;NA;NA;103,086;110,768;101,218;109,109;113,758;103,146;102,472;108,573;104,44;104,274;NA;1289,13;1492,43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/15/97;103,723;100,543;103,618;109,8395;4,4654;NA;111,81;NA;104,968;101,902;NA;NA;103,324;106,554;104,346;113,949;NA;NA;NA;NA;NA;NA;107,2022;109,7513;112,6908;NA;NA;3,9648;NA;NA;102,892;110,635;101,122;108,932;113,514;103,034;102,327;108,396;104,3;104,117;NA;1289,98;1489,64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/16/97;103,189;99,624;103,42;109,4408;4,5013;NA;111,1551;NA;104,723;101,581;NA;NA;102,965;106,067;103,964;112,962;NA;NA;NA;NA;NA;NA;106,8969;109,3447;112,2341;NA;NA;4,015;NA;NA;102,154;110,235;100,935;108,497;112,533;102,827;101,968;107,964;103,818;103,644;NA;1276,35;1455,94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/17/97;102,978;99,356;103,389;109,2688;4,6061;NA;110,8886;NA;104,611;101,398;NA;NA;102,877;105,753;103,815;112,65;NA;NA;NA;NA;NA;NA;106,8131;109,2216;111,9936;NA;NA;4,0912;NA;NA;101,919;109,989;100,869;108,363;112,224;102,759;101,877;107,84;103,517;103,44;NA;1269,38;1434,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/20/97;103,189;99,451;103,389;109,3558;4,5981;NA;111,0978;NA;104,641;101,48;NA;NA;102,91;105,92;103,889;112,829;NA;NA;NA;NA;NA;NA;106,8471;109,2752;112,1049;NA;NA;4,093;NA;NA;102,154;110,091;100,886;108,445;112,404;102,78;101,914;107,919;103,681;103,548;NA;1262,12;1428,07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/21/97;103,058;99,423;103,316;109,259;4,6127;NA;110,9182;NA;104,601;101,398;NA;NA;102,831;105,802;103,81;112,763;NA;NA;NA;NA;NA;NA;106,7903;109,1632;111,9875;NA;NA;4,1158;NA;NA;102,093;109,927;100,854;108,341;112,338;102,742;101,829;107,823;103,566;103,451;NA;1277,08;1457,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/22/97;102,877;99,308;103,274;109,1296;4,6554;NA;110,8112;NA;104,499;101,251;NA;NA;102,718;105,66;103,684;112,656;NA;NA;NA;NA;NA;NA;106,667;108,9979;111,8346;NA;NA;4,1406;NA;NA;102,021;109,804;100,781;108,139;112,232;102,664;101,714;107,613;103,425;103,317;NA;1279,05;1467,47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10/23/97;102,957;99,25;103,379;109,2499;4,5906;NA;110,9289;NA;104,641;101,444;NA;NA;102,876;105,758;103,801;112,564;NA;NA;NA;NA;NA;NA;106,8334;109,1861;111,9331;NA;NA;4,1179;NA;NA;101,97;109,866;100,859;108,324;112,143;102,763;101,867;107,807;103,527;103,433;NA;1250,85;1391,87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
